Country,Region,Year,Life_expectancy,Schooling,Infant_deaths,Under_five_deaths,Adult_mortality,GDP_per_capita,Economy_status_Developed,Economy_status_Developing
Turkiye,Middle East,2015,76.5,7.8,11.1,13.0,105.824,11006,0,1
Spain,European Union,2015,82.8,9.7,2.7,3.3,57.9025,25742,1,0
India,Asia,2007,65.4,5.0,51.5,67.9,201.0765,1076,0,1
Guyana,South America,2006,67.0,7.9,32.8,40.5,222.1965,4146,0,1
Israel,Middle East,2012,81.7,12.8,3.4,4.3,57.951,33995,1,0
Costa Rica,Central America and Caribbean,2006,78.2,7.9,9.8,11.2,95.22,9110,0,1
Russian Federation,Rest of Europe,2015,71.2,12.0,6.6,8.2,223.0,9313,0,1
Hungary,European Union,2000,71.2,10.2,8.7,10.1,192.969,8971,1,0
Jordan,Middle East,2001,71.9,9.6,22.0,26.1,129.764,3708,0,1
Moldova,Rest of Europe,2008,68.7,10.9,15.3,17.8,217.857,2235,0,1
Brazil,South America,2012,74.2,7.3,15.4,17.2,150.2245,9057,0,1
Malta,European Union,2007,79.8,9.9,6.0,6.8,58.0185,19338,1,0
"Bahamas, The",Central America and Caribbean,2011,72.3,11.0,13.0,15.2,165.538,32027,0,1
Ukraine,Rest of Europe,2002,68.3,10.5,14.3,16.6,261.6095,1660,0,1
Switzerland,Rest of Europe,2006,81.5,12.3,4.2,4.9,63.2435,79368,1,0
Norway,Rest of Europe,2001,78.8,12.1,3.8,4.7,80.4955,68489,1,0
Finland,European Union,2013,81.0,12.3,2.2,2.7,76.567,43045,1,0
Comoros,Africa,2007,60.7,3.5,66.8,91.9,255.8815,1166,0,1
Japan,Asia,2005,81.9,11.2,2.8,3.7,68.768,33099,1,0
Gabon,Africa,2012,62.9,7.8,39.1,57.1,256.88,7181,0,1
Ghana,Africa,2011,61.4,6.8,45.2,65.9,257.0865,1580,0,1
Philippines,Asia,2001,68.8,7.7,28.2,36.9,214.2685,1847,0,1
"Congo, Rep.",Africa,2003,53.8,5.7,64.6,100.2,406.702,2072,0,1
Madagascar,Africa,2011,63.8,6.1,45.8,67.0,237.6755,464,0,1
Estonia,European Union,2004,71.9,12.0,6.2,7.8,194.0975,13283,1,0
Belize,Central America and Caribbean,2013,73.5,10.5,14.6,16.9,179.144,4667,0,1
Kazakhstan,Asia,2006,66.2,11.7,25.6,29.0,270.9885,7838,0,1
Cameroon,Africa,2015,57.6,6.1,57.0,88.0,340.1265,1383,0,1
Jordan,Middle East,2006,72.8,9.8,19.2,22.5,121.011,4516,0,1
Zimbabwe,Africa,2009,48.4,7.2,54.0,91.3,551.9115,941,0,1
Bhutan,Asia,2005,65.3,2.3,44.7,57.5,253.2655,1489,0,1
Switzerland,Rest of Europe,2010,82.2,13.3,3.9,4.6,56.9105,82027,1,0
South Africa,Africa,2006,53.8,9.0,48.7,79.2,515.718,5827,0,1
Jordan,Middle East,2012,73.7,9.9,16.2,19.0,113.2855,4387,0,1
Eritrea,Africa,2012,63.2,3.9,36.8,51.2,274.029,699,0,1
Germany,European Union,2010,80.0,13.8,3.5,4.2,77.604,37761,1,0
Saudi Arabia,Middle East,2014,74.5,9.5,8.3,9.6,89.12,20328,0,1
Kiribati,Oceania,2004,64.2,7.2,49.4,64.6,214.7745,1488,0,1
Seychelles,Africa,2011,72.7,8.4,12.2,14.2,154.4505,13664,0,1
Madagascar,Africa,2012,64.3,6.1,44.6,64.8,232.446,465,0,1
Singapore,Asia,2014,82.5,11.4,2.2,2.7,52.393,54683,0,1
